2016-08-23 09:51:28,094 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: org.slevin:springJsf0:0.0.1-SNAPSHOT @ C:\Users\Adminl\Desktop\Projet4\ProxibanqueV4-master\pom.xml.
2016-08-23 09:51:30,535 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ProxibanqueV4-master/src/main/java
2016-08-23 09:51:30,535 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ProxibanqueV4-master/src/main/resources
2016-08-23 09:51:30,536 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ProxibanqueV4-master/src/test/java
2016-08-23 09:51:30,536 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ProxibanqueV4-master/src/test/resources
2016-08-23 09:51:31,219 [Worker-10] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 4 sec
2016-08-23 09:51:45,331 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-23 09:51:45,341 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2016-08-23 09:51:45,359 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-23 09:51:45,364 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-08-23 09:51:51,214 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-23 09:51:51,221 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2016-08-23 09:51:51,228 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-23 09:51:51,233 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-08-23 09:51:52,926 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-23 09:51:52,932 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2016-08-23 09:51:52,948 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-23 09:51:52,952 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-08-23 09:52:16,010 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-23 09:52:16,018 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2016-08-23 09:52:16,022 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-23 09:52:16,029 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-08-23 09:52:28,823 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-23 09:52:28,826 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2016-08-23 09:52:28,831 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-23 09:52:28,836 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-08-23 09:53:49,504 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-23 09:53:49,514 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2016-08-23 09:53:49,524 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-23 09:53:49,532 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
